model,dataset,topic_id,top_terms,topic_size
CTM,Wiki,0,"שם, בית, יישוב, עיר, ירושלים, כפר, מועצה, תקופה, נמצא, ערבי, הר, ישראל",653
CTM,Wiki,1,"שפה, דגל, צבע, אדום, מילה, סמל, לבן, אומץ, כחול, מסמל, פס, דובר",1121
CTM,Wiki,2,"מחשב, רשת, תקשורת, תוכנה, שימוש, השתמש, מידע, אינטרנט, מערכה, נתון, תקן, קוד",1295
CTM,Wiki,3,"להקה, שיר, מוזיקה, אלבום, רוק, מוזיקלי, זמר, סגנון, מטאל, גיטרה, הרכב, תוכנית",1121
CTM,Wiki,4,"בן, ספר, מקור, יום, ברכה, פרשה, מצווה, מסכת, הלכה, תפילה, פה, תלמוד",1290
CTM,Wiki,5,"מרחב, ערך, הגדרה, נקודה, דוגמה, שלם, מוגדר, מתמטיקה, מתמטי, פורמלי, כשל, הוכיח",1002
CTM,Wiki,6,"אדם, תחום, מונח, מדע, מחקר, תאוריה, פילוסופיה, חברתי, חקר, עוסק, אנושי, מושג",1548
CTM,Wiki,7,"ישראל, מדינה, מפלגה, ארץ, ממשלה, נשיא, ראש, חוק, בחירה, ברית, ארגון, כנסת",1190
CTM,Wiki,8,"תא, מחלה, כימי, חומר, דם, תהליך, חיידק, מולקולה, מזון, חומצה, אטום, סוכר",1286
CTM,Wiki,9,"מין, משפחה, סוג, בעל, שם, מדעי, חי, צמח, נפוץ, גדול, מצוי, עוף",1396
CTM,Wiki,10,"רב, יהודי, אב, בן, חי, ישיבה, נולד, רבי, בית, ישראל, חסידות, ירושלים",1036
CTM,Wiki,11,"קיבוץ, יישוב, מושב, הוקם, יד, מועצה, היסטוריה, אזורי, עוול, חבר, שם, גרעין",1045
CTM,Wiki,12,"משחק, נבחר, קבוצה, שחקן, שיחק, כדורגל, עונה, ליגה, קריירה, מועדון, אצטדיון, זכה",1114
CTM,Wiki,13,"נולד, אוניברסיטה, ביוגרפיה, לימוד, שנה, תואר, ישראלי, לימד, למד, אביב, אב, סיים",1514
CTM,Wiki,14,"צפון, ים, דרום, שטח, מזרח, נהר, אזור, מערב, הר, מחוז, חלק, חוף",1150
CTM,Wiki,15,"עיר, מאה, בעיר, מוזאון, בירה, מרכז, תושב, ברית, היסטוריה, מדינה, ניו, אוכלוסייה",1298
CTM,Wiki,16,"מלחמה, צבא, גרמני, חיל, עולם, ברית, קרב, נאצי, צבאי, מהלך, גרמנייה, טנק",1495
CTM,Wiki,17,"כדור, כלי, כוכב, שמש, צליל, אוויר, יחידה, חלל, מנוע, מהירות, כוח, גל",1247
CTM,Wiki,18,"מלך, אירוע, לוח, מוות, קיסר, נשאר, סיום, הסטורי, שני, שושלת, שליט, רומי",1580
CTM,Wiki,19,"סרט, פרס, אנגלית, ספר, סופר, אמריקאי, קולנוע, סדרה, עלילה, סיפור, אוסקר, רומן",1618
CTM,UGC,0,"מחלה, קורונה, מת, חיסון, וירוס, שפעת, נגיף, תרופה, עולם, ריאה, קשה, נפטר",470
CTM,UGC,1,"שר, בריאות, ממשלה, ראש, משרד, ביבי, מדינה, ליצמן, ציבור, מערכה, נתניהו, משבר",351
CTM,UGC,2,"ביבי, נתניהו, בחירה, ראש, בנט, נאשם, גנץ, שוחד, אמון, משפט, הצביע, מושחת",483
CTM,UGC,3,"תאוריה, ספרד, מבלי, פגישה, קרס, לאלתר, השתגע, חולון, תקין, מתייחס, מר, שערורייה",609
CTM,UGC,4,"ילד, שחקן, זמן, שנה, חופש, חזרה, משחק, הורה, עונה, בא, אחד, מורה",394
CTM,UGC,5,"כבוד, הצלחה, מקסים, יפה, מעולה, אישה, אוהב, אהבה, מאוד, יישר, מצוין, מרגש",445
CTM,UGC,6,"איש, סגר, מסכה, אחד, רכבת, נסע, אוטובוס, מקום, נוסע, בית, מרחק, שם",421
CTM,UGC,7,"חולה, סגר, בית, נדבק, יום, בדיקה, בידוד, קורונה, בריאות, שבוע, משרד, מת",382
CTM,UGC,8,"ישראל, משפחה, ברוך, מאחל, החלמה, צער, מהיר, תפילה, אמן, חי, בשורה, כואב",348
CTM,UGC,9,"מדינה, אזרח, קיבל, כסף, עובד, שכר, כלא, מס, משלם, בושה, חי, שכיר",193
CTM,UGC,10,"מדינה, כסף, ממשלה, שר, מס, מיליארד, בנק, משכורת, ביבי, ציבור, שילם, מגזר",356
CTM,UGC,11,"ספרד, מבלי, תאוריה, קרס, חולון, מדבר, חיוב, לאלתר, ערוך, כינס, תקין, קטלני",639
