model,dataset,topic_id,doc_id,doc_text_short
C-Top2Vec,Wiki_clean_text_v2,0,864,סו ית נקראת ית אנ ית שפה סלאבית מערבית מתוך קבוצת השפות הסלאביות שבמשפחת השפות ההודו אירופיות דוברי הסורבית הסורבים צאצאי הוונדים השבט הסלאבי שהתיישב בשטח שבין נהר האודר לנהר האלבה הסורבית אחת משלוש שפות המיעוטים הרשמיות גרמניה בנוסף לדנית ופריזית בגרמנית הסורבית נחלקת לשני דיאלקטים עיקריים שביניהם הבדלים בהגייה הדיאלקט הצפוני מדובר בפי שבעת אלפים עשרת אלפים איש במדינת ברנדנבורג בגרמניה דיאלקט נמצ
C-Top2Vec,Wiki_clean_text_v2,0,3561,ולשית בוולשית באנגלית שפה ממשפחת השפות הקלטיות זוהי השפה הרשמית השנייה בבריטניה לצד האנגלית ולשית השפה הקלטית הנפוצה ביותר אחרי ברטונית מדוברת בפי אלף איש כשרובם המוחלט תושבי ויילס והם מהווים כחמישית מאוכלוסיית המדינה בנוסף קהילות דוברי ולשית קיימות בארגנטינה בארצות הברית בקנדה באוסטרליה ובניו זילנד אלפים מתושבי ויילס דוברים ולשית ואינם דוברים אנגלית לפי החוק הבריטי ניתן להעניק אזרחות בריטית לאדם 
C-Top2Vec,Wiki_clean_text_v2,0,64,נוסח תפילה יהודי נודע הנאמר בארמית בבלית עיקרו הקדיש בקשה להתגדלות ולהתקדשות שמו האל והתגלות מלכותו בעולם במרבית הנוסחים מופיעה בקשה לקירוב הגאולה וביאת המשיח אולם בקשה אינה מופיעה בנוסח אשכנז ונוסח איטליה פי המקובלים הקדיש מעלה התפילה בשלביה השונים לדרגות קדושה שונות במקורו נאמר הקדיש לאחר לימוד אגדה אך בהדרגה נכנס לתפילות הציבור בבתי הכנסת הקדיש משולב בין התפילות בבית הכנסת ונאמר בסיום תפילת העמ
C-Top2Vec,Wiki_clean_text_v2,1,1219,עומר גולן נולד באוקטובר כדורגלן עבר ישראלי ששיחק בעמדת החלוץ מלך השערים קבוצת מכבי פתח תקווה בכל הזמנים וכיום המנהל הספורטיבי והמנכ המועדון קריירה גולן החל דרכו במחלקת הנוער מכבי פתח תקווה ובשנת עלה לקבוצה הבוגרת המועדון ערך הופעתו הראשונה בקבוצה הבוגרת במשחק נגד מכבי חיפה בעונת בספטמבר כבש שער הבכורה שלו בליגת העל בהפסד למכבי תל אביב בעונת הגיע גולן להישג הבולט הראשון קבוצתו זכייה בגביע הטוטו בעו
C-Top2Vec,Wiki_clean_text_v2,1,2328,נבחרת ספרד בכדורגל לגברים בספרדית נבחרת הכדורגל הלאומית ספרד ומייצגת מאז תקופת השיא נבחרת ספרד כללה זכייה פעמיים ברציפות באליפות אירופה בכדורגל וב ובין שני תארים זכתה בגביע העולם בכדורגל הישג שיא נוסף נבחרת ספרד במסגרת היורו שנערך בספרד כאשר זכתה בגביע לאחר ניצחון נבחרת ברית המועצות במשחק הגמר ביורו שנערך בגרמניה כאשר זכתה בפעם לאחר ניצחון אנגליה בגמר העפילה הנבחרת למשחק הגמר אך הפסידה למארחת צרפת
C-Top2Vec,Wiki_clean_text_v2,1,2110,אלי יאני נולד ביולי כדורגלן עבר ישראלי ששיחק בעמדת החלוץ ומזוהה בעיקר קבוצת הפועל כפר סבא קריירה יאני גדל בכפר סבא כבן יחיד להורים שעלו ממצרים החל לשחק כדורגל במחלקת הנוער הפועל כפר סבא ובעונת צורף לסגל הקבוצה הבוגרת ידי המאמן שלמה שרף בגיל בעונה העפיל הקבוצה לחצי גמר גביע המדינה בעונת הבקיע שער בניצחון מכבי פתח תקווה הניצחון הגבוה ביותר בתולדות המועדון אך בתום העונה ירדה הקבוצה לליגת המשנה במקביל
C-Top2Vec,Wiki_clean_text_v2,2,4925,חוסיין בערבית פרטי ושם משפחה ממקור ערבי שמות פרטיים ערביים לגברים שמות משפחה ערביים
C-Top2Vec,Wiki_clean_text_v2,2,4324,טראנס וטרנס תעתיקים אפשריים בעברית לשני מונחים לועזיים מצרפתית עתיקה בהסתמך בלטינית מלטינית לרוב כקידומת למילה
C-Top2Vec,Wiki_clean_text_v2,2,4353,דרייפוס נכתב משפחה ממוצא מערב אירופאי תרגומו לעברית משפות גרמאניות מגרמנית מיידיש חצובה שלוש רגליים שמות משפחה אשכנזיים
C-Top2Vec,Wiki_clean_text_v2,3,4978,גו גו קרב בדיוני מעולם הפנטזיה טולקין הידוע בשם קרב להבת הפתע דגור ברגולך הקרב הרביעי במלחמות בלריאנד ובמהלכו שבר מורגות המצור אנגבנד במשך שנים צרו ממלכות העלפים בבלריאנד מעוזו מורגות באנגבנד מורגות עמל במשך שנים בניית צבא אדיר ולבסוף הפתיע העלפים במתקפה אדירה ראשית עורר מורגות נהרות להבה אשר כילו מישור ארד גלן הפורה עלפים רבים מצאו מותם בניסיון לברוח מהאש והעשן צבאות הבאלרוגים והאורקים בהנהגת גלא
C-Top2Vec,Wiki_clean_text_v2,3,1838,בעולם הפנטזיה ג'ון רונלד רעואל טולקין גו נו ין יל יא בסינדארין הקרב תחת הכוכבים הקרב השני במסגרת מלחמות בלריאנד בקרב השתתפו סיעת הנולדור הגולים תחת הנסיך נו וכוחות האורקים מלקור הקרב נערך לאחר הריסת שני העצים אך בטרם עליית הירח ועל שמו הקרב תחת הכוכבים סופו הקרב בניצחון מזהיר הנולדור אך במחיר חייו פאנור הקרב התרחש לקראת תום שנות העצים בטרם הקרב נחתו הנולדור הגולים מאמן הממלכה הברוכה במפרץ דרנגיסט 
C-Top2Vec,Wiki_clean_text_v2,3,1240,מספר מבתי אוסגיליאת אחר נפילתה למורדור במשך מלחמת הטבעת ברקע נראית מינס טירית וההרים הלבנים מתוך הסרט שר הטבעות שיבת המלך יל יא עיר בדויה בארץ התיכונה בלגנדריום ג'ון רונלד רעואל טולקין העיר היוותה בירתה הראשונה גונדור העיר גזור משפת הסינדרין בה משמעותו כיפת הכוכבים מעוז הכוכבים המבנה החשוב בעיר אשר אכלס הפלנטיר אבן רואי אוסגיליאת העיר הוקמה ידי אלנדיל ובניו לקראת תום העידן השני גדות נהר אנדואין שכ
C-Top2Vec,Wiki_clean_text_v2,4,4996,צלב הברזל בגרמנית עיטור גרמני שהוענק גבורה העיטור המקורי הוענק בשנת במלחמות נפולאון ידי פרוסיה העיטור הוחיה והוענק שוב בשנת במלחמת צרפת פרוסיה בשנת במלחמת העולם הראשונה ולבסוף בשנת במלחמת העולם השנייה עיצוב האדריכל הגרמני קרל פרידריך שינקל עיצב העיטור בשנת פי בקשתו פרידריך וילהלם השלישי מלך פרוסיה כהשראה לצלב הברזל השתמש שינקל בסימלם האבירים הטבטונים הצלב מעוצב כצלב פאטה צלב הברזל הופיעה שנת הנפקת
C-Top2Vec,Wiki_clean_text_v2,4,2625,הלמוט קרל ברנהארד פון מולטקה גרמנית באוקטובר באפריל גנרל פלדמרשל גרמני מפורסם שנעשה לרוזן ביוגרפיה פון מולטקה נולד בפרכים והצטרף לצבא הדני ולאחר מכן הצטרף לצבא הפרוסי ועד שירת כיועץ לצבא האימפריה העות'מאנית בשנת מונה לראש ראש המטה הכללי במקום קרל פון רייהר וכיהן בתפקיד לשנת תכנן והוביל בהצלחה מבצעים צבאיים במהלך מלחמת שלזוויג השנייה במהלך המלחמה האוסטרו פרוסית ובמהלך מלחמת פרוסיה צרפת שסללה הדרך ל
C-Top2Vec,Wiki_clean_text_v2,4,1030,אולימפיאדת אתונה האולימפיאדה בעת החדשה והיא נמשכה ימים באוגוסט באוגוסט השתתפו בתחרויות ספורטאים מדינות וטריטוריות המשחקים הראשונים בהן המדינות החברות באומות המאוחדות משתתפות בו אתרי אולימפיאדת אתונה לכבוד המשחקים האולימפיים נבנו מתחמי ספורט ענקים אירועים בולטים אתלטיקה נשים ורוניקה קמפבל בראון מג'מייקה זכתה מדליות מדליות זהב בריצת מטר ובריצת שליחות מטר ומדליית ארד בריצת מטר קלי הולמס מאנגליה השלימ
C-Top2Vec,Wiki_clean_text_v2,5,4884,אירועים נולדו גדעון סער מרב מיכאלי אורנה בנאי רוני לוי ריק אסטלי סמנתה פוקס אדם סנדלר ג'יי ג'יי אברהמס ניר קלינגר צביקה הדר ג'ון פאברו דייוויד שווימר שמעון בוסקילה רומאריו מייק טייסון נפטרו באסטר קיטון אנה אחמטובה וולט דיסני לוח שנה
C-Top2Vec,Wiki_clean_text_v2,5,4375,אירועים נולדו טקסט פיקסלים לזלי נילסן טקסט רפי איתן פיקסלים רפי איתן טקסט פיקסלים מל ברוקס טקסט פיקסלים אליזבת השנייה טקסט פיקסלים מרילין מונרו פיקסלים פידל קסטרו נפטרו לוח שנה
C-Top2Vec,Wiki_clean_text_v2,5,3558,אירועים נולדו פיקסלים אמנון דנקנר פיקסלים אפרים סידון פיקסלים יגאל שילון פיקסלים דונלד טראמפ פיקסלים ג'ורג ווקר בוש פיקסלים ביל קלינטון פיקסלים סילבסטר סטאלון פיקסלים שלום חנוך פיקסלים חנן יובל פיקסלים פרדי מרקיורי פיקסלים ששי קשת פיקסלים נחמיה תמרי פיקסלים נחמן שי פיקסלים קרל השישה עשר גוסטב מלך שוודיה פיקסלים חוה אלברשטיין פיקסלים פטי סמית נפטרו לוח שנה
C-Top2Vec,Wiki_clean_text_v2,6,38,פרס לויצקי פרס ישראלי לחוקר ישראלי בתחום האלגברה הפרס נוסד ידי משפחת לויצקי לזכר יעקב לויצקי ורעייתו שרלוטה הפרס מוענק פעם בשנתיים למתמטיקאי ישראלי מצטיין מחקר בתחום האלגברה בנושאים קרובים גובה הפרס דולר אמריקאי לזוכה חתני הפרס יעקב ורשבסקי האוניברסיטה העברית בירושלים שלמה ג'לקי אוניברסיטת בן גוריון בנגב עוזי וישנה אוניברסיטת בר אילן יהודה שלום אוניברסיטת תל אביב מריה גורליק מכון ויצמן למדע ניר אב
C-Top2Vec,Wiki_clean_text_v2,6,3962,פרס אבי חי פרס שנתי ליחידים ומוסדות הפועלים לקירוב לבבות בין המחנות השונים בחברה היהודית בישראל גובה הפרס עמד אלף מטעם קרן אבי חי הפרס הוענק לפעילים יחידים ומוסדיים בעיקר בתחום החינוך מורים מחנכים ראשי מוסדות חינוכיים המצטיינים בפעולה חינוכית שעונה מטרות היסוד קרן אבי חי זכיות המידע מתוך אתר הקרן תשנ דניאל טרופר תשנ אריה בן גוריון תשנ צבי צמרת תשנ רב מנחם פרומן תשנ רות קלדרון בן שחר ומוטי בר אור ת
C-Top2Vec,Wiki_clean_text_v2,6,2418,אקדמות כתב עת למחשבה יהודית שיצא לאור בשנים ושב לצאת לאור בשנת כתב העת יצא לאור כפעמיים בשנה ידי בית מורשה בירושלים העורכים הראשונים עמיחי ברהולץ ודוד ענקי החל משנת החליפה חיותה דויטש עמיחי ברהולץ כתב העת נוסד במטרה לחבר היצירה התורנית הקלאסית והיצירה האקדמית תוך שימוש במתודות ובתובנות מודרניות ולעיתים אף פוסט מודרניות בין הכותבים רשימה חלקית לפי פרופ אריה אדרעי הרב דוד ביגמן פרופ חנוך בן פזי פרופ
