model,dataset,topic_id,doc_id,doc_text_short
CTM,Wiki,0,3185,"בית שמש היא עיר במחוז ירושלים שבישראל, אשר הוקמה בראשית שנות החמישים כמעברה והוכרזה כעיר ב־ ביוני . בית שמש נמצאת במרכז הגאוגרפי של מדינת ישראל, בין גוש דן מטרופולין תל אביב ובין מטרופולין ירושלים בין הרי ירושלים לשפלת יהודה. בסוף שנת אוכלוסיית העיר מנתה , תושבים ואלפי יחידות דיור נוספות בתהליך פיתוח. היסטוריה בית שמש העתיקה שמאל תל בית שמש לכיוון צפון, נובמבר שמאל תל בית שמש בית שמש העתיקה על רקע"
CTM,Wiki,0,3376,"שמאל המרכזית והעתיקה ביישוב שמאל משפחת זינאתי שומרי בית הכנסת העתיק שמאל פקיעין לנצח שעלתה באש באוקטובר שמאל היונים בכניסה הצפונית לפקיעין שמאל סולטאן אל אטרש משמאל בכיכר המעיין בפקיעין פְּקִיעִין בערבית , תעתיק מדויק אלבקיעה, הגייה בערבית ספרותית אַל בֻּקַ֫יְעַה, הגייה בערבית מדוברת לֶבְּקֵ֫יעַה היא מועצה מקומית ערבית במחוז הצפון שבישראל. הכפר הוכרז כמועצה מקומית בשנת . כ . מתושבי כפר פקיעין הם ד"
CTM,Wiki,0,14286,"שער יפו ומגדל דוד שער יפו בערבית , תעתיק באב אל ח ליל , תרגום שער חברון הוא אחד משמונת שערי ירושלים בחומת העיר העתיקה. בתקופה הצלבנית הוא נקרא גם שער דוד , על שם המצודה הקרויה מגדל דוד הסמוכה לו. השער קבוע באמצע החומה המערבית של העיר העתיקה בירושלים, ונקרא על שם הדרך העתיקה המוליכה ממנו מערבה אל העיר יפו היום רחוב יפו ונמל יפו, שהיה הנמל הראשי של ארץ ישראל עד לתקופת המנדט הבריטי. שם השער בערבית מת"
CTM,Wiki,1,7519,"דגל סנגל בצרפתית הוא דגלה הלאומי של סנגל. הוא אומץ רשמית ב באוגוסט . הדגל מבוסס על דגל פדרציית מאלי הזהה לו, כאשר לדגל סנגל נוסף כוכב ירוק המופיע במרכז הדגל. הדגל הוא טריקולור דגל תלת צבעי בצבעים הכלל אפריקאיים ירוק, צהוב ואדום. עיצוב הסמל דגל סנגל הוא דגל תלת פסי אנכי טריקולור בצבעי ירוק, צהוב ואדום שמוטען בכוכב בעל חמישה קודקודים בצבע ירוק. ירוק לצבע משמעות סמלית דתית במרבית הדתות במדינה. באסלאם"
CTM,Wiki,1,6786,"דגל יוון ביוונית הוא דגלה הלאומי של יוון. עיצובו מורכב מתשעה פסים אופקיים שווים בצבעי כחול ולבן לסירוגין. בפינה העליונה בצד התורן ישנו ריבוע כחול קנטון ובתוכו צלב לבן. יחס הממדים הרשמי של הדגל הם . הצלב מסמל את הכנסייה היוונית אורתודוקסית, דת המדינה הרשמית. תשעת הפסים מסמלים כל אחד את ההברות של המוטו הלאומי חופש או מוות ביוונית אֶ לֶפ תֶ רִי אָה אִי תָ נָ טוֹס . הצבע הכחול מסמל את הים, והשמיים. הצ"
CTM,Wiki,1,7493,"דגל סוריה החופשית בערבית הוא דגלה הלאומי דה פקטו של סוריה, מאז החלפת השלטון ב . דגל זה מורכב משלושה פסים אופקיים בצבעי ירוק, לבן ושחור, ובמרכזו שלושה כוכבים בצבע אדום. קודם לכן, משנת ועד נפילת משטר אל אסד בדצמבר , דגלה הלאומי של סוריה היה הדגל ששימש קודם לכן את הרפובליקה הערבית המאוחדת בשנים , דגל אשר מורכב משלושה פסים אופקיים בצבעי אדום, לבן ושחור, ובמרכזו שני כוכבים בצבע ירוק. עיצוב הדגל הדגל צב"
CTM,Wiki,2,53,"תׇּכְנָה היא אוסף של הוראות ומידע הניתנות לביצוע על ידי מחשב. התוכנה משמשת להפעלת המחשב וחומרות נילוות, לביצוע משימה או אוספת משימות. התכנה מורכבת מאוסף מאורגן של תוכניות מחשב המשרתות כולן יישום מסוים. באמצעות התוכנה המחשב מספק את שירותיו למשתמשים בו. תוכנה היא בדרך כלל תוצר של פרויקט תוכנה שמתוכנן על פי מתודולוגיות שונות בהנדסת תוכנה. סיווג תוכנה מאפיין בסיסי של תוכנה הוא שפת התכנות או שפות התכנו"
CTM,Wiki,2,2184,"מונחי בסיס תוכנה אוסף מאורגן של הוראות ומידע עבור מחשב. תוכנית מחשב רצף של הוראות בשפת תכנות כלשהי, שנועדו לבצע משימה מסוימת, קטנה או גדולה, במחשב. יישום מחשב תת־מחלקה של תוכנות מחשב אשר מנצלות את יכולות המחשב לביצוע משימות אותן המשתמש מבקש לבצע. תוכנת מערכת תוכנת מחשב המיועדת להפעלה ושליטה על חומרת המחשב, ומשמשת כפלטפורמה להרצת יישומי מחשב. תכנות המלאכה של פיתוח ותחזוקה של תוכנה. מתכנת תוכניתן אד"
CTM,Wiki,2,3561,"הנדסת חומרה היא תחום בהנדסה העוסק בעיצוב, בפיתוח, ובתכנון רכיבי חומרה למחשב או להתקן אלקטרוני אחר, כמו מיכשור סלולרי וציוד תקשורת. הנדסת החומרה כוללת גם ארכיטקטורת מחשב העוסקת בתכנון המחשב באמצעות רכיביו או גם תכנון רכיבים באמצעות תת רכיבים אך לא בכל ההיבטים של תכנון הרכיבים עצמם, פיתוחם ותכנון ייצורם. העוסקים בתחום זה הם בעיקר מהנדסים מתחום האלקטרוניקה והחשמל. אולם, יכולים לעסוק בתחום גם מהנדסים "
CTM,Wiki,3,12626,"שמאל של הלהקה מאז שנת שמאל שינודה לינקין פארק אנגלית היא להקת רוק מקליפורניה שבארצות הברית. הלהקה נוסדה בשנת ובמשך השנים הוציאה שבעה אלבומי אולפן אשר הקנו לה הכרה כלל עולמית ו מהשנים ו בהם התמקדה הלהקה בעיקר בסגנונות הנו מטאל והראפ מטאל , ו מהשנים , ו בהן התנסתה הלהקה בסגנונות רוק אלטרנטיבי ופופ רוק בשנת הוציאה לאור הלהקה את אלבום האולפן , שהחזיר מעט אלמנטים של מטאל אלטרנטיבי באלבום האחרון של הלהק"
