model,dataset,topic_id,top_terms,topic_size
LDA,Wiki:clean_text,0,"על, שמאל, או, אל, גם, על_ידי, בין, ה, עם, היה, היו, היא",
LDA,Wiki:clean_text,1,"היא, המשחק, על, או, עם, על_ידי, משחק, שמאל, עד, כל, בין, הייתה",
LDA,Wiki:clean_text,2,"על_ידי, על, הסרט, בשנת, ה, ב, חברת, ג, ו, באנגלית_הוא, באנגלית, אשר",
LDA,Wiki:clean_text,3,"או, היא, שמאל, על, על_ידי, מספר, כל, אחד, זה, כאשר, עם, התוכנית",
LDA,Wiki:clean_text,4,"או, על, הספר, לא, גם, עם, ספר, ה, על_פי, היא, זה, בין",
LDA,Wiki:clean_text,5,"על, הייתה, על_ידי, היה, שמאל, דגל, המדינה, עם, ב, בין, המפלגה, בשנת",
LDA,Wiki:clean_text,6,"היה, בשנת, ב, נולד, ביוגרפיה, עם, שם, על, נולד_ב, בגיל, למד, בן",
LDA,Wiki:clean_text,7,"עם, לואי, המועדון, המלך, היה, הקבוצה, שארל, על, ליגת, ה, מלך, על_ידי",
LDA,Wiki:clean_text,8,"על, הוא_היום, צרפת, קרב, בשנה_מעוברת, לאחר, הראשון, ה, בקרב, זה, ארצות_הברית, ה_בשנה",
LDA,Wiki:clean_text,9,"האי, היא, בשנת, על, הייתה, היסטוריה, העיר, ב, בעיר, בין, באנגלית, על_ידי",
LDA,Wiki:clean_text,10,"היא, על, שמאל, בין, אל, עד, קטגוריה, הנהר, או, עם, גם, נהר",
LDA,Wiki:clean_text,11,"ישראל, שמאל, על, שם, יעקב, ב, בני, בית, רמת, היא, ל, עם",
LDA,Wiki:clean_text,12,"על, בין, ה, היא, על_ידי, גם, זה, אשר, האות, ו, שירתו, של_המאה",
LDA,Wiki:clean_text,13,"שמאל, על, היא, המוזיאון, או, על_ידי, מוזיאון, באמצעות, על_פי, ישו, אותות, תקשורת",
LDA,Wiki:clean_text,14,"שם_מדעי, הגשר, גשר, עד, שמאל, מין, על, סוג, והוא, אך, הם, גם",
LDA,Wiki:clean_text,15,"היא, או, גם, על, עם, זו, שמאל, על_ידי, בין, בצק, באמצעות, חומצה",
LDA,Wiki:clean_text,16,"עבר, שיחק, נבחרת, ב, הוא_כדורגלן, הליגה, נולד_ב, היה, עם, הכדורגל, הנבחרת, קריירה",
LDA,Wiki:clean_text,17,"מוזיקה, המוזיקה, קסיוס, גזע, במוזיקה, ג_אז, זאב, צליל, מלחין, נגינה, אוטו, ה",
