model,dataset,topic_id,doc_id,doc_text_short
Top2Vec,Wiki:clean_text,0,24799,"גאי גבריאל קיי באנגלית נולד ב בנובמבר הוא סופר פנטזיה קנדי יהודי, הידוע בכך שהעולמות הבדיוניים שהוא יוצר מבוססים על מקומות אמיתיים במהלך תקופות היסטוריות אמיתיות, כמו קונסטנטינופול במהלך שלטונו של יוסטיניאנוס הראשון או ספרד בימי אל סיד. כתיבתו היא דוגמה לסוגת הפנטזיה ההיסטורית, אם כי קיי עצמו מעדיף להימנע מקטגוריזציה של עבודותיו. נכון ל , קיי פרסם רומנים וספר שירה, וספריו תורגמו למעלה מ שפות. קורו"
Top2Vec,Wiki:clean_text,0,15301,"שמאל האיחוד הגדול הדגל האמריקני הראשון עם דגל הממלכה המאוחדת בקנטון שלוש עשרה המושבות באנגלית הוא שמן הקיבוצי של קולוניות בריטיות בצפון אמריקה, אשר לכל אחת מהן היה שלטון עצמי בכל מושבה מינה המונרך הבריטי מושל ולצדו פקידים, אך לצדו גם המתיישבים השתתפו בשלטון, בעיקר בהחלטות שנוגעות למיסוי, לגיוס לצבא ולעניינים משפטיים. במהלך השנים נוצרה במושבות תרבות חדשה, ששילבה תרבות בריטית ואירופאית, וכן אלמנטים "
Top2Vec,Wiki:clean_text,0,22539,"שמאל בבל מאת פיטר ברויגל האב. אחד מהשיאים של סגנון הרנסאנס הצפוני שבולטת בו הגרנדיוזיות והדרמטיות. מִגְדַּל בָּבֶל, או בכינויו הרווח בספרות הרבנית מעשה דור הפַּלָּגָה, הוא סיפור מקראי המופיע בסוף פרשת נח שבספר בראשית, לאחר סיפור המבול. לפי המסופר, בשחר האנושות התיישבו בני האדם בארץ שנער דרום מזרח מסופוטמיה , הקימו שם עיר ובנו בה מגדל גבוה. אלוהים לא ראה בעין יפה את בניית העיר והמגדל, בלבל את שפתם "
Top2Vec,Wiki:clean_text,1,9801,"אפור הוא צבע נפוץ בטבע. הוא נוצר על ידי ערבוב חומרים לבנים ושחורים או על ידי שילוב אורות אדומים, ירוקים וכחולים, בפרופורציות שוות. העין האנושית רואה לעיתים עצמים בצבעים מגוונים כאפורים, בשל תנאי התאורה. המילה העברית אפור , היא תואר שם, שהוא גיזרון, של שם העצם, אֵפֶר . שימוש ומשמעות מינסק ונהר סוויסלץ בבלארוס חיים אפורים מציינים חיים משעממים, ללא מטרה או תועלת. אפור היה צבע מדי חיילי קונפדרציית המד"
Top2Vec,Wiki:clean_text,1,12978,"הסיגלית הם סגולים. סאטן סגול בצבע סגול סָגול הוא הצבע שמתקבל בצפייה באור באורכי הגל הקצרים ביותר בתחום הנראה, בערך בין ל ננומטר, עם תדירות בין ל טרה הרץ אורכי גל קצרים יותר נקראים על סגול או אולטרה סגול . בצבע זה ניתן לחזות בזמן צפייה בקשת בענן זהו הצבע בקצה הקשת, מעבר לכחול. כאשר אור לבן עובר נפיצה דרך מנסרה, הסגול הוא הצבע הנראה הרחוק ביותר מכיוון האלומה המקורי. ערבוב של אור אדום ואור כחול ביחסי"
Top2Vec,Wiki:clean_text,1,12982,"שמאל ורד שמאל לבוש ורוד בזרועות המדונה, דון לורנצו מונקו , השיוך של הצבע הוורוד לבנות קיים בתרבות רק מהעת המודרנית שמאל כנסיית פטרוס הקדוש, או הכנסייה הרוסית, בשכונת אבו כביר בדרום תל אביב, הבנויה מלבנים בגוון ורוד ורוד הוא הכינוי לצבע המתקבל מערבוב של הצבעים אדום ולבן ולעיתים מתואר גם כגוון בהיר של אדום. ככל שהוא מכיל יותר אדום, יתקבל צבע ורוד חם יותר, בעוד עירובו עם מינון גבוה של לבן יבהיר אותו "
Top2Vec,Wiki:clean_text,2,7698,"שמאל פורטוגל מתנוסס על אחד ממגדלי טירת סאו ז ורז ה דגל פורטוגל הוא מלבן ביחס של בצבעים ירוק ואדום, המחולק אנכית לחלק ירוק בצד התורן מאורך הדגל ואדום בצד השני . במרכז קו החלוקה נמצא סמל המורכב מהספירה הארמילרית שבה מגן פורטוגלי מסורתי. הדגל אומץ רשמית ב ביוני , אך היה בשימוש מאז המהפכה הרפובליקאית של באוקטובר . משמעות הדגל לדגל יש משמעויות רבות. במהלך האסטדו נובו, תקופת המשטר הלאומני שנמשכה משנת עד"
Top2Vec,Wiki:clean_text,2,8115,"דגל בלארוס אומץ ב ביוני ואושר במשאל עם, כאשר הוא מחליף עיצוב קודם ששימש מאז קבלת העצמאות מברית המועצות. הדגל החדש דומה לזה שהיה בשימוש כאשר בלארוס הייתה חלק מברית המועצות, בהשמטת הפטיש והמגל. הדוגמה הדקורטיבית בצד שמאל של הדגל היא דוגמה בלארוסית מסורתית, והצבע האדום אמור לסמל את דמם של מגיני בלארוס. הירוק מסמל את היערות שבמדינה. הדגל הקודם של בלארוס בין השנים הוא לבן אדום לבן עיצוב של קלאודזי דוז "
Top2Vec,Wiki:clean_text,2,6518,"דגל אירלנד באירית באנגלית הוא דגלה של הרפובליקה של אירלנד. זהו טריקולור אנכי בצבעי ירוק, לבן וכתום ביחס אורך גובה של . אף על פי שאין לדגל סמליות רשמית, על פי המסורת הצבע הירוק מסמל את המסורת הלאומית האירית, הכתום את תומכיו של ויליאם, נסיך אורנז והלבן את השלום ואת הדו קיום ביניהם. הדגל, שהובא לאירלנד ב בעת מרד אירלנד הצעירה, הפך לסמל לאומי עת הונף בשנת על גגו של בית הדואר המרכזי של דבלין בעת מרידת "
Top2Vec,Wiki:clean_text,3,18629,"ג נרל מוטורס באנגלית , ובקיצור היא יצרנית רכב בינלאומית שבסיסה בארצות הברית. החברה נוסדה בשנת על ידי ויליאם דוראנט. המותגים הבולטים שבבעלות החברה הם, בין היתר, ביואיק, קאדילק, שברולט, ו . חטיבת אולדסמוביל פורקה בשנת , חטיבת פונטיאק פורקה בשנת . חלק ממותגי החברה נמכרו או נמצאים בתהליך של מכירה, במסגרת הליכי פירוק. ביוני הגישה ג נרל מוטורס בקשה להליך פירוק צ פטר לאחר שחובותיה הגיעו לסך של כ מיליארד "
Top2Vec,Wiki:clean_text,3,18789,"הקודם קאדילק באנגלית הוא מותג מכוניות היוקרה של יצרנית הרכב האמריקנית ג נרל מוטורס. מכוניות המותג מיוצרות בעיקר עבור השוק האמריקני. היסטוריה חברת קאדילק הוקמה ב באוגוסט , על ידי שני משקיעים שתמכו בעסקיו של הנרי פורד ויליאם מרפי ולמואל בואן, והמהנדס הנרי לילנד. החברה נקראה על שמו של מייסד העיר דטרויט שבמדינת מישיגן, חוקר הארצות הצרפתי בן המאה ה , אנטואן דה לה מוט קאדיאק . המכונית הראשונה הוצגה ב בא"
Top2Vec,Wiki:clean_text,3,13933,"שמאל פאביה דור שני שמאל סופרב דור שני שמאל רומסטר סקודה אוטו מצ כית היא יצרנית רכב גדולה בצ כיה. מאז היא חלק מקבוצת פולקסווגן. ההגייה הנכונה של שם החברה היא שקודה, אך ההגייה סקודה מקובלת ברוב הארצות דוברות האנגלית ובישראל. היסטוריה בשנת יסדו בבוהמיה ואצלב לורין וואצלב קלמנט את חברת לורין את קלמנט לייצור אופניים. ב הם יצרו גם אופנועים והחל משנת מכוניות. הדגם הראשון של מכונית מתוצרתם, הווטורט , הצלי"
Top2Vec,Wiki:clean_text,4,6758,"כ היא האות ה באלפבית העברי. האות קרויה כ ף כָּף . הגייה מבחינה פונולוגית כ דגושה מייצגת עיצור וילוני, סותם, אטום אלפבית פונטי בין לאומי , וכ רפה מייצגת עיצור ענבלי, חוכך, אטום אלפבית פונטי בין לאומי ומזדהה עם הגיית חי ת מודרנית. בהתאם לחלוקת אותיות האלפבית העברי לחמשת מוצאי הפה, כ נמנית עם ארבע האותיות החכיות גיכ ק. כ היא אחת משש האותיות בג ד כפ ת, המקבלות דגש קל בראש מילה ולאחר שווא נח. ייצוג כ ה"
Top2Vec,Wiki:clean_text,4,7058,"ט היא האות התשיעית באלפבית העברי, ושמה טי ת טֵית . הגיית האות ט בהתאם לחלוקת אותיות האלפבית העברי לחמשת מוצאי הפה, ט נמנית עם חמש האותיות הלשוניות דטלנ ת. מבחינה פונולוגית ייצגה האות ט במקור עיצור מכתשי מלועלע, סותם, אטום . עיצור זה הוא עיצור נחצי, כמו טא הערבית. בפי דוברי העברית החדשה, היא מבוטאת כעיצור מכתשי, סותם, אטום , כמו הגיית האות ת . ייצוג האות ט פרוטו כנעניפיניקיארמיט טֵת גלגל באלפבית הפ"
Top2Vec,Wiki:clean_text,4,6772,"ז היא האות השביעית באלפבית העברי ושמה זי ן זַיִן . בפי יהודי תימן נקראת האות זאן. הגייה בהתאם לחלוקת אותיות האלפבית העברי לחמשת מוצאי הפה, ז נמנית עם חמש האותיות השיניות זסשר צ. מבחינה פונולוגית האות ז מייצגת עיצור מכתשי, חוכך שורק, קולי . זי ן גרושה מייצגת עיצור בתר מכתשי, חוכך שורק, קולי , והגייתה היא כשל בצרפתית, כמו בשם ז בוטינסקי. כך גם הגייתה בפי יהודי צפון אפריקה ותימן כאשר היא מודגשת. בפעל"
Top2Vec,Wiki:clean_text,5,18864,"עיצורים מקישים הם עיצורים המופקים תוך התכווצות שרירים יחידה כך שאיבר חיתוך אחד מושלך כנגד איבר חיתוך אחר. ההבדל בין עיצורים מקישים לעיצורים סותמים הוא בכך שאין תהליך של בניית לחץ אוויר מאחורי בסיס החיתוך. העיצור המקיש הצדי יחסית נפוץ אף שאוזן אירופאית עשויה שלא לקלוט אותו, כגון ביפנית ובשפות אחרות בהן אין הבחנה בין עיצורי רי ש ולמ ד, קיים העיצור המקיש הצדי. בנוסף, בשפות בהן אין הבחנה בין עיצורים צ"
Top2Vec,Wiki:clean_text,5,18639,"עיצורים מחוּכָּכים הם עיצורים המופקים באמצעות חסימת זרם האוויר בחלל הפה, ושחרורו האיטי תוך הפקת צליל חיכוך, אלו הם למעשה שני עיצורים הנהגים כעיצור אחד כאשר הראשון סותם והשני חוכך. ישנה הבחנה בין רצף של עיצור סותם וחוכך לבין עיצור מחוכך בכך שברצף העיצורים סותם חוכך ישנו שחרור אוויר עם הגיית הסותם ואילו בעיצור מחוכך החלק הסותם חסר שחרור אוויר בפני עצמו, לדוגמה תשואה, צואה. כאשר מופיעים בטבלה שני עיצ"
Top2Vec,Wiki:clean_text,5,18842,"עיצורים מסודקים הם עיצורים סותמים לא ריאתיים שבמהלך הגייתם זרם האוויר מווסת באמצעות פיקת הגרון ולא באמצעות הריאות. עיצורים מסודקים הם לרוב גרסאות לא ריאתיות של עיצורים סותמים אטומים או עיצורים חוככים אטומים. העיצור המסודק הנפוץ ביותר הוא הווילוני. ניתן להבחין בכמה שלבים בהגיית העיצורים המסודקים בשלב הראשון יורדת פיקת הגרון ומאפשרת לאוויר לחדור לחלל הפה, בשלב השני נסתם בסיס החיתוך, בשלב השלישי עולה"
Top2Vec,Wiki:clean_text,6,22851,"בערך זה מצוינים אירועים בולטים שהתרחשו במהלך שנת ונוגעים לעולם הקולנוע. אירועים סרטים שוברי קופות אהבה בשחקים , בכיכובו של טום קרוז קרוקודיל דנדי פלאטון , בכיכובם של וילם דפו, צ ארלי שין וג וני דפ קראטה קיד מסע בין כוכבים השיבה הביתה בחזרה ללימודים , בכיכובו של רודני דיינג רפילד שובו של הנוסע השמיני , בכיכובה של סיגורני ויבר ילד הזהב , בכיכובו של אדי מרפי חטיפה נעימה שמתי ברז למורה , בכיכובו של מת"
Top2Vec,Wiki:clean_text,6,22905,"בערך זה מצוינים אירועים בולטים שהתרחשו במהלך שנת ונוגעים לעולם הקולנוע. סרטים שוברי קופות מלחמת הכוכבים שובו של הג דיי פלאשדאנס משנה מקום משנה מזל , בכיכובם של דן אקרויד ואדי מרפי משחקי מלחמה , בכיכובו של מתיו ברודריק טוטסי אוקטופוסי מסדרת סרטי ג יימס בונד מיסטר אמא , בכיכובו של מייקל קיטון להישאר בחיים שעשועים מסוכנים נסיעה נעימה, המפתחות בפנים , בכיכובו של צ בי צייס סופרמן , בכיכובו של כריסטופר "
